Product Number,Current In-Stock,Product Name,Flight Numbers
2033.0,out,Ch Tern - 139g,12 | 6 | -2 | 2
2034.0,0,Ch Thunderbird,9 | 5 | 0 | 2
2035.0,0,Ch TL,7 | 5 | -1 | 1
2036.0,0,Ch TL3,8 | 4 | -1 | 1
2037.0,0,Ch Toro,4 | 2 | 1 | 3
2038.0,0,Ch Valkyrie  ,9 | 4 | -2 | 2
2039.0,0,Ch Wraith  ,11 | 5 | -1 | 3
2040.0,0,Ch Xcaliber,12 | 5 | 0 | 4
702.0,0,MF Ch Roc3,5 | 4 | 0 | 3
2802.0,0,MF Ch Destroyer,12 | 5 | -1 | 3
2803.0,0,MF Ch Gator,5 | 2 | 0 | 4
2804.0,0,MF Ch Katana,13 | 5 | -2 | 3
2805.0,0,MF Ch TeeBird3,8 | 4 | 0 | 2
1002.0,0,St Lion - INNfuse,5 | 4 | 0 | 2
2102.0,0,St Destroyer - InnVision ,12 | 5 | -1 | 3
2103.0,0,St Eagle - INNfuse,7 | 4 | -1 | 3
2104.0,0,St Firebird - InnVision,9 | 3 | 0 | 4
2105.0,0,St Wraith - InnVision ,11 | 5 | -1 | 3
1102.0,0,St Alien,4 | 2 | 0 | 1
1103.0,0,St Atlas,5 | 4 | 0 | 1
1104.0,0,St Jay,5 | 4 | 0 | 1
1105.0,0,St Mako3  ,5 | 5 | 0 | 0
1106.0,out,St Mako3 - 139,5 | 5 | 0 | 0
1107.0,0,St Roc,4 | 4 | 0 | 3
1108.0,0,St Roc3,5 | 4 | 0 | 3
1109.0,0,St RocX3,5 | 4 | 0 | 3.5
1110.0,0,St Rollo,5 | 6 | -4 | 1
1111.0,0,St Shark,4 | 4 | 0 | 2
1112.0,0,St Wombat3,5 | 6 | -1 | 0
2302.0,0,St Animal ,2 | 1 | 0 | 1
2303.0,0,St Ape,13 | 5 | 0 | 4
2304.0,0,St Aviar P&A,2 | 3 | 0 | 1
2305.0,0,St Aviar3 ,3 | 2 | 0 | 2
2306.0,0,St AviarX3,3 | 2 | 0 | 3
2307.0,0,St Beast,10 | 5 | -2 | 2
2308.0,0,St Boss,13 | 5 | -1 | 3
2309.0,0,St Caiman,5.5 | 2 | 0 | 4
2310.0,0,St Charger ,13 | 5 | -1 | 2
2311.0,0,St Colossus,14 | 5 | -2 | 3
2312.0,0,St Colt ,3 | 4 | -1 | 1
2313.0,0,St Corvette ,14 | 6 | -1 | 2
2314.0,0,St Daedalus,13 | 6 | -3 | 2
2315.0,0,St Destroyer  ,12 | 5 | -1 | 3
2316.0,out,St Eagle,7 | 4 | -1 | 3
2317.0,0,St Firebird  ,9 | 3 | 0 | 4
2318.0,0,St Gator,5 | 2 | 0 | 4
2319.0,0,St Gorgon,10 | 6 | -2 | 1
2320.0,0,St Hawkeye ,7 | 5 | -1 | 1
2321.0,0,St Invader,3 | 2 | 0 | 1
2322.0,0,St Invictus,10 | 4 | 0 | 3
2323.0,0,St IT ,7 | 6 | -2 | 1
2324.0,0,St Katana,13 | 5 | -3 | 3
2325.0,0,St Leopard   ,6 | 5 | -2 | 1
2326.0,0,St Leopard3,7 | 5 | -2 | 1
2327.0,0,St Mamba  ,11 | 6 | -5 | 1
2328.0,0,St Mirage,3 | 4 | -3 | 0
2329.0,0,St Orc,10 | 4 | -1 | 3
2330.0,0,St Racer,12 | 6 | -1 | 2
2331.0,0,St Rat,4 | 2 | 0 | 2
2332.0,0,St Roadrunner  ,9 | 5 | -4 | 1
2333.0,0,St Roadrunner - 130-139 Gram ,9 | 5 | -4 | 1
2334.0,0,St Savant,9 | 5 | -1 | 2
2335.0,0,St Shryke  ,13 | 6 | -2 | 2
2336.0,0,St Sidewinder ,9 | 5 | -3 | 1
2337.0,0,St TeeBird ,7 | 5 | 0 | 2
2338.0,0,St TeeBird3,8 | 4 | 0 | 2
2339.0,0,St Tern,12 | 6 | -3 | 2
2340.0,0,St Tern - 130-139 Gram,12 | 6 | -3 | 2
2341.0,0,St Thunderbird  ,9 | 5 | 0 | 2
2342.0,0,St TL,7 | 5 | -1 | 1
2343.0,0,St TL3,8 | 4 | -1 | 1
2344.0,0,St Toro,4 | 2 | 1 | 3
2345.0,0,St Valkyrie  ,9 | 4 | -2 | 2
2346.0,0,St Wraith  ,11 | 5 | -1 | 3
2347.0,0,St Xcaliber,12 | 5 | 0 | 4
902.0,0,BS Star Mako3,5 | 5 | 0 | 0
905.0,0,White BS Star Mako3,5 | 5 | 0 | 0
2602.0,out,BS Star Boss,13 | 5 | -1 | 3
2603.0,0,BS Star Charger,13 | 5 | -1 | 2
2604.0,0,BS Star Destroyer  ,12 | 5 | -1 | 3
2605.0,0,BS Star Wraith  ,11 | 5 | -1 | 3
2608.0,0,White BS Star Charger,13 | 5 | -1 | 2
2609.0,0,White BS Star Destroyer,12 | 5 | -1 | 3
2610.0,0,White BS Star Firebird,9 | 3 | 0 | 4
2611.0,0,White BS Star Roadrunner,9 | 5 | -4 | 1
2612.0,0,White BS Star Toro,4 | 2 | 1 | 3
2613.0,0,White BS Star Wraith,11 | 5 | -1 | 3
1202.0,0,IDye St Mako3,5 | 5 | 0 | 0
1203.0,0,IDye St Roc3,5 | 4 | 0 | 3
1206.0,0,ID Ch Roc3,5 | 4 | 0 | 3
2402.0,0,IDye St Charger,13 | 5 | -1 | 2
2403.0,0,IDye St Destroyer,12 | 5 | -1 | 3
2404.0,0,IDye St Firebird,9 | 3 | 0 | 4
2405.0,0,IDye St IT,7 | 6 | -2 | 1
